tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
295,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,54.47700958355846,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,,[],,,
420,plate,put down,Counter_22,Counter,22,put down plate on counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,141.03236083479737,86.5553512512389,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,['player_60bd0614'],,,
487,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,179.51558392056987,38.483223085772494,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,,[],,,
570,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,217.9988070063423,38.48322308577244,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,['player_60bd0614'],,,
570,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,217.9988070063423,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,['player_60bd0614'],,,False
621,plate,put down,Counter_22,Counter,22,put down plate on counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,217.9988070063423,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,"['player_60bd0614', 'player_60bd0614']",,,
621,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,217.9988070063423,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,"['player_60bd0614', 'player_60bd0614']",,,False
656,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,217.9988070063423,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,"['player_60bd0614', 'player_60bd0614', 'player_60bd0614']",,,
656,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_60bd0614,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,217.9988070063423,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5e6e47d4bd8f7d3f6b956611,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_60bd0614_actions,player_60bd0614,"['player_60bd0614', 'player_60bd0614', 'player_60bd0614']",,,False
673,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_885141ad,encouraged_division_of_labor_large,02fbf6f8b879b0e0,train,144.99999999993634,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66ec435b31d35555dcea2f87,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map",player_885141ad_actions,player_60bd0614,"['player_60bd0614', 'player_60bd0614', 'player_60bd0614']",,,True
