tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
271,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,70.51452390138468,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
423,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,109.0496452443143,38.53512134292963,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
564,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,147.58476658724746,38.53512134293315,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
697,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,192.8396005831857,45.25483399593824,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
901,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,208.8396005831857,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1021,tomato,start cutting,CuttingBoard_01,CuttingBoard,01,start cutting tomato,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,247.35414697850922,38.51454639532352,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1146,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,279.35414697850774,31.999999999998522,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1214,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,295.35414697850683,15.99999999999909,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1515,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,413.86867087989134,118.5145239013845,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1766,plate,put down,Counter_23,Counter,23,put down plate on counter,player_e90c06ad,baseline_division_of_labor_large,86b8c207d01de5d0,train,506.82285893243676,92.95418805254542,0.0,0.0,0.0,0.4,1.0,"(1, 2)",57c725d89a5f4f0001f661bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
