tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
147,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,,[],,,
252,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,86.5016676955987,70.5016676955987,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,player_ac9a300e,['player_ac9a300e'],,,
377,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,173.01086567410033,86.50919797850163,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,,[],,,
440,plate,put down,Counter_22,Counter,22,put down plate on counter,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,227.48787525765897,54.47700958355861,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,player_ac9a300e,['player_ac9a300e'],,,
461,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_064638ed,baseline_division_of_labor_v2,3db031474ddf03c4,54.62741699796952,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",679327e8a39b3fcc97d882bf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_064638ed_actions,,[],,,
676,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_064638ed,baseline_division_of_labor_v2,3db031474ddf03c4,149.45083832805275,94.82342133008324,0.0,0.0,0.0,0.4,1.0,"(1, 2)",679327e8a39b3fcc97d882bf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_064638ed_actions,player_064638ed,['player_064638ed'],,,
858,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,272.328993492299,44.84111823464005,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,player_ac9a300e,['player_ac9a300e'],,,False
881,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,272.328993492299,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,player_ac9a300e,['player_ac9a300e'],"['player_ac9a300e', 'player_ac9a300e']",['player_ac9a300e'],False
923,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_ac9a300e,baseline_division_of_labor_v2,3db031474ddf03c4,272.328993492299,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60709c0cc17168fdce1c7774,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ac9a300e_actions,player_ac9a300e,['player_ac9a300e'],"['player_ac9a300e', 'player_ac9a300e']",['player_ac9a300e'],False
984,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_064638ed,baseline_division_of_labor_v2,3db031474ddf03c4,251.86588525138356,102.4150469233308,0.0,0.0,0.0,0.4,1.0,"(1, 2)",679327e8a39b3fcc97d882bf,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_064638ed_actions,,[],,,
