tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
148,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
204,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,54.48322308577236,38.48322308577236,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
252,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,92.96644617154473,38.48322308577237,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
319,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,138.22128016748388,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
443,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,183.47611416342264,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
537,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,258.16029046819324,74.6841763047706,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
637,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,367.0365034420391,108.87621297384584,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
724,plate,put down,Counter_22,Counter,22,put down plate on counter,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,453.5918546932782,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
827,plate,pick up,Dispenser_91,Dispenser,91,pick up plate from dispenser,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,540.1472059445194,86.55535125124123,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
919,plate,put down,Counter_23,Counter,23,put down plate on counter,player_ec303d50,baseline_division_of_labor_large,6dd806cd73bf3b5b,train,632.9768625400275,92.82965659550803,0.0,0.0,0.0,1.0,0.2,"(5, 2)",60b8198defba8da1d95a93b8,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision"
