tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
139,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,,[],,,
179,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,['player_624c1830'],,,
222,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_baf36084,baseline_division_of_labor_v2,71ed81c4cca55a21,54.509197983939174,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d7b81d79044b73bfb50952,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_baf36084_actions,,[],,,
252,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,83.7380570817114,38.48322308577239,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,,[],,,
284,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_baf36084,baseline_division_of_labor_v2,71ed81c4cca55a21,92.992421069711,38.48322308577181,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d7b81d79044b73bfb50952,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_baf36084_actions,player_baf36084,['player_baf36084'],,,
325,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,144.99289107765065,61.25483399593925,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,['player_624c1830'],,,
335,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_baf36084,baseline_division_of_labor_v2,71ed81c4cca55a21,138.24725506565014,45.25483399593915,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d7b81d79044b73bfb50952,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_baf36084_actions,,[],,,
418,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_baf36084,baseline_division_of_labor_v2,71ed81c4cca55a21,215.23302004471336,76.98576497906322,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d7b81d79044b73bfb50952,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_baf36084_actions,player_baf36084,['player_baf36084'],,,
423,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,212.87514207155877,67.88225099390812,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,,[],,,
508,plate,put down,Counter_22,Counter,22,put down plate on counter,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,267.35215165511727,54.4770095835585,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,['player_624c1830'],,,
508,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,267.35215165511727,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,['player_624c1830'],,,False
572,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,304.64256462163996,37.290412966522695,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,"['player_624c1830', 'player_624c1830']",,,
588,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_baf36084,baseline_division_of_labor_v2,71ed81c4cca55a21,323.8406261857814,108.60760614106805,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d7b81d79044b73bfb50952,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_baf36084_actions,player_baf36084,['player_baf36084'],,,False
609,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_baf36084,baseline_division_of_labor_v2,71ed81c4cca55a21,323.8406261857814,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d7b81d79044b73bfb50952,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_baf36084_actions,player_baf36084,"['player_baf36084', 'player_baf36084']",,,
669,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,304.64256462163996,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,"['player_624c1830', 'player_624c1830']",,,False
692,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,304.64256462163996,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,['player_624c1830'],"['player_624c1830', 'player_624c1830', 'player_624c1830']","['player_624c1830', 'player_624c1830']",False
711,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_624c1830,baseline_division_of_labor_v2,71ed81c4cca55a21,304.64256462163996,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f2f03deec679e2cf4a992e6,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_624c1830_actions,player_624c1830,['player_624c1830'],"['player_624c1830', 'player_624c1830', 'player_624c1830']","['player_624c1830', 'player_624c1830']",False
