tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
138,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,23.87573239511782,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,,[],,,
283,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,69.13056639105685,45.25483399593902,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,player_7e79c1b6,['player_7e79c1b6'],,,
310,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,69.13056639105685,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,player_7e79c1b6,['player_7e79c1b6'],,,False
367,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,69.13056639105685,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,player_7e79c1b6,"['player_7e79c1b6', 'player_7e79c1b6']",,,
371,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,16.0,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_7e79c1b6,"['player_7e79c1b6', 'player_7e79c1b6']",,,True
427,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,32.0,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_66920b9d,"['player_7e79c1b6', 'player_7e79c1b6', 'player_66920b9d']",,,
448,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,114.3854003869961,45.25483399593925,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,,[],,,
511,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,159.640234382935,45.25483399593891,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,player_7e79c1b6,['player_7e79c1b6'],,,
547,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,32.0,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_66920b9d,"['player_7e79c1b6', 'player_7e79c1b6', 'player_66920b9d']",,,False
590,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,35.000000000001535,3.0000000000015348,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_66920b9d,"['player_7e79c1b6', 'player_7e79c1b6', 'player_66920b9d', 'player_66920b9d']",,,
602,tomato_cut,pick up,Counter_22,Counter,22,pick up tomato_cut from counter,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,35.000000000001535,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_66920b9d,"['player_7e79c1b6', 'player_7e79c1b6', 'player_66920b9d', 'player_66920b9d']",,,False
646,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,56.00000000001228,21.000000000010743,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_66920b9d,"['player_7e79c1b6', 'player_7e79c1b6', 'player_66920b9d', 'player_66920b9d', 'player_66920b9d']",,,
666,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,252.64451044064623,93.00427605771122,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,,[],,,
703,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,72.00000000001228,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_7e79c1b6,['player_7e79c1b6'],,,True
751,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_66920b9d,encouraged_division_of_labor_large,897dd5930b408207,train,88.00000000001228,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",5b21702b6dba320001b072ce,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_66920b9d_actions,player_66920b9d,"['player_7e79c1b6', 'player_66920b9d']",,,
764,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_7e79c1b6,encouraged_division_of_labor_large,897dd5930b408207,train,339.19986169188536,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",66d3274252d61ef65f0cc099,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map_with_collision",player_7e79c1b6_actions,player_66920b9d,['player_7e79c1b6'],"['player_7e79c1b6', 'player_7e79c1b6', 'player_66920b9d', 'player_66920b9d', 'player_66920b9d']",['player_7e79c1b6'],True
