tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
178,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_fb1056f6,baseline_division_of_labor_large,4cca2e2c2299b887,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66abcdbd34514966bb53d541,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_fb1056f6_actions,,[],,,
200,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,70.5091979785024,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,,[],,,
286,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,134.50919797850247,64.00000000000007,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,player_ee186aee,['player_ee186aee'],,,
379,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,134.50919797850247,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,player_ee186aee,['player_ee186aee'],,,False
399,tomato_cut,put down,Counter_22,Counter,22,put down tomato_cut on counter,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,150.50919797850256,16.000000000000085,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,player_ee186aee,"['player_ee186aee', 'player_ee186aee']",,,
459,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,198.50919797850256,48.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,,[],,,
526,tomato,start cutting,CuttingBoard_01,CuttingBoard,1,start cutting tomato,player_fb1056f6,baseline_division_of_labor_large,4cca2e2c2299b887,train,334.5753322707744,311.9479152728049,0.0,0.0,0.0,1.0,1.0,"(5, 2)",66abcdbd34514966bb53d541,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_fb1056f6_actions,player_fb1056f6,['player_fb1056f6'],,,
607,tomato,start cutting,CuttingBoard_10,CuttingBoard,10,start cutting tomato,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,322.5091979785145,124.00000000001197,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,player_ee186aee,['player_ee186aee'],,,
702,tomato_cut,pick up,CuttingBoard_10,CuttingBoard,10,pick up tomato_cut from cuttingboard,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,322.5091979785145,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,player_ee186aee,['player_ee186aee'],,,False
776,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_ee186aee,baseline_division_of_labor_large,4cca2e2c2299b887,train,354.5091979785146,32.00000000000006,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66b0a68cacc8657f27641cb8,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints_large_map_with_collision",player_ee186aee_actions,player_ee186aee,"['player_ee186aee', 'player_ee186aee']",,,
