tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
190,tomato,pick up,Dispenser_60,Dispenser,60,pick up tomato from dispenser,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
254,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,77.10442658152799,54.47700958355848,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
375,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,163.6597778327696,86.55535125124162,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
481,plate,put down,Counter_23,Counter,23,put down plate on counter,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,256.4894344282765,92.82965659550692,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
541,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,301.7442684242163,45.25483399593975,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
600,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,346.999102420156,45.25483399593975,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
600,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,346.999102420156,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
673,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,384.69033505861444,37.691232638458416,1.0,1.0,1.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
716,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,400.6903350586145,16.000000000000057,1.0,0.0,1.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
776,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_fb7e10a6,encouraged_division_of_labor_large,99858163ced43d33,train,439.1735581443871,38.48322308577258,1.0,0.0,1.0,1.0,0.2,"(5, 2)",5fc850ebe2e6de1dbb08b6cb,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
