tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,phase,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
162,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,16.0,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
287,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,54.590349674168806,38.590349674168806,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
345,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,93.07357275994119,38.48322308577238,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
413,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,138.32840675588034,45.25483399593915,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
469,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,183.5832407518191,45.25483399593875,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
551,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,244.75033674594513,61.16709599412604,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
658,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,353.62654971979106,108.87621297384592,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
763,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,440.1819009710302,86.55535125123913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
930,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,526.7372522222715,86.55535125124135,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1098,plate,put down,Counter_23,Counter,23,put down plate on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,678.5155028896073,151.77825066733578,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1146,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,694.5155028896068,15.999999999999432,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1153,tomato_salad,put down,Counter_22,Counter,22,put down tomato_salad on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,694.5155028896068,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1239,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,758.515502889604,63.99999999999727,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1294,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,790.5155028896027,31.999999999998636,1.0,1.0,1.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1373,plate,pick up,Dispenser_80,Dispenser,80,pick up plate from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,844.9925124731599,54.47700958355722,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1464,plate,put down,Counter_22,Counter,22,put down plate on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,931.5478637243962,86.55535125123629,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1506,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,947.5478637243955,15.999999999999318,1.0,0.0,1.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1566,tomato_salad,deliver,Delivery_53,Delivery,53,deliver tomato_salad,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,986.0570954707041,38.509231746308615,2.0,1.0,2.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1685,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,1002.0570954707036,15.999999999999545,2.0,0.0,2.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
1759,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_021492f2,encouraged_division_of_labor_large,1f76d632aa041159,train,1047.3119294666415,45.254833995937815,2.0,0.0,2.0,1.0,0.2,"(5, 2)",6539b6073fd063faaca55dc6,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints_large_map"
