tick,phase,CuttingBoard_01_slot_x,CuttingBoard_01_slot_y,CuttingBoard_01_item,CuttingBoard_01_cut_time_accumulated,CuttingBoard_01_cut_stage,CuttingBoard_02_slot_x,CuttingBoard_02_slot_y,CuttingBoard_02_item,CuttingBoard_02_cut_time_accumulated,CuttingBoard_02_cut_stage,CuttingBoard_10_slot_x,CuttingBoard_10_slot_y,CuttingBoard_10_item,CuttingBoard_10_cut_time_accumulated,CuttingBoard_10_cut_stage,Counter_22_slot_x,Counter_22_slot_y,Counter_22_item,Counter_23_slot_x,Counter_23_slot_y,Counter_23_item,Counter_24_slot_x,Counter_24_slot_y,Counter_24_item,Counter_25_slot_x,Counter_25_slot_y,Counter_25_item,Counter_26_slot_x,Counter_26_slot_y,Counter_26_item,Counter_27_slot_x,Counter_27_slot_y,Counter_27_item,Dispenser_50_slot_x,Dispenser_50_slot_y,Dispenser_50_item,Delivery_53_slot_x,Delivery_53_slot_y,Delivery_53_item,Dispenser_60_slot_x,Dispenser_60_slot_y,Dispenser_60_item,Delivery_63_slot_x,Delivery_63_slot_y,Delivery_63_item,Delivery_73_slot_x,Delivery_73_slot_y,Delivery_73_item,Dispenser_80_slot_x,Dispenser_80_slot_y,Dispenser_80_item,Delivery_83_slot_x,Delivery_83_slot_y,Delivery_83_item,Dispenser_91_slot_x,Dispenser_91_slot_y,Dispenser_91_item,Delivery_93_slot_x,Delivery_93_slot_y,Delivery_93_item,902c85ae72e7a3e4_score,player_610bee4e_x,player_610bee4e_y,player_610bee4e_move_target,player_610bee4e_item,player_610bee4e_score,player_610bee4e_cut_speed,player_610bee4e_speed,player_82e44c48_x,player_82e44c48_y,player_82e44c48_move_target,player_82e44c48_item,player_82e44c48_score,player_82e44c48_cut_speed,player_82e44c48_speed,3adf54df351485b8_score,b061d0f4b85439ce_message,bf952a00cd7d4209_score
1,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
2,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
3,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
4,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
5,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
6,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
7,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
8,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
9,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
10,train,0,1,,0,0,0,2,,0.0,0,1,0,,0,0,2,2,,2,3,,2,4,,2,5,,2,6,,2,7,,5,0,tomato,5,3,,6,0,tomato,6,3,,7,3,,8,0,plate,8,3,,9,1,plate,9,3,,0.0,24.0,40.0,,,0,1.0,12.0,88.0,40.0,,,0,0.2,30.0,,,
